route_id,normalized_corridor_id,historic_daily_vehicle_km_proxy,ml_service_intensity_prediction,ml_service_intensity_residual,ml_service_intensity_anomaly_flag,ml_prediction_source,ml_prediction_claim_status,ml_model_version,ml_model_meaningful_vs_baseline,ml_service_intensity_used
LTFRB_PUJ1128,balic__balic-galas__quiapo-barbosa,3770.94,3796.447,-25.507000000000062,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1129,balete-drive-e-rodriguez,4081.02,3983.757,97.26299999999992,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1130,balintawak__blumentritt,4085.1,4094.206,-9.106000000000222,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1131,balintawak__blumentritt,4085.1,4094.206,-9.106000000000222,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1132,balintawak__camarin,13048.86,13140.175,-91.31499999999869,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1133,balintawak__camarin,13048.86,13140.175,-91.31499999999869,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1134,balintawak__frisco,3831.12,3857.106,-25.98600000000033,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1135,balintawak__frisco,3831.12,3857.106,-25.98600000000033,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1136,balintawak__lagro,17467.5,17475.962,-8.461999999999534,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1137,balintawak__lagro,15034.8,15292.66,-257.8600000000006,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1138,balintawak__monumento,1842.12,1830.81,11.309999999999945,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1139,balintawak__monumento,1991.04,1977.806,13.233999999999924,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1140,balintawak__novaliches,10559.04,10303.306,255.73400000000038,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1141,balintawak__novaliches,9042.3,9095.021,-52.72100000000137,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1142,balintawak__puc,3592.44,3608.769,-16.328999999999724,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1143,balintawak__puc,3592.44,3608.769,-16.328999999999724,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1144,balut__divisoria,3276.24,3346.952,-70.71200000000044,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1145,balut__divisoria,3768.9,3804.2,-35.29999999999973,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1146,brgy-san-rafael-rodriguez__quezon-city-hall,19673.76,19547.526,126.23399999999674,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1147,brgy-san-rafael-rodriguez__quezon-city-hall,20592.78,20494.808,97.97199999999793,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1148,air__bel__washington,3176.28,3113.259,63.021000000000186,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1149,air__bel__washington,3179.34,3113.259,66.08100000000013,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1150,bicutan-taguig__pasig-tp,10813.02,10881.212,-68.1919999999991,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1151,bicutan-taguig__pasig-tp,10712.04,10839.566,-127.52599999999984,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1152,binangonan__jrc,28896.6,29261.192,-364.59200000000055,True,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1153,binangonan__jrc,29243.4,29406.151,-162.7510000000002,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1154,binangonan__marcos-highway,22974.48,23271.988,-297.50800000000163,True,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1155,binangonan__marcos-highway,23080.56,23238.057,-157.4969999999994,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1156,binangonan__pasig-tp,31405.8,29802.558,1603.2419999999984,True,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1157,binangonan__pasig-tp,30118.56,29542.225,576.3350000000028,True,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1159,blumentritt__divisoria,2485.74,2443.462,42.27799999999979,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1160,blumentritt__frisco,4897.02,5054.949,-157.92899999999918,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1161,blumentritt__frisco,4916.400000000001,4775.598,140.8020000000006,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1162,blumentritt__i-delos-reyes-p-campa,2670.36,2661.275,9.085000000000036,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
