agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_id,mode_context
LTFRB,,"Baclaran-Malanday viaEDSA, McArthur, Ayala","Mercury Drug Store, MacArthur Highway, Malanday, Valenzuela City - Roxas Blvd, Parañaque City, Manila",3,,FFFFFF,,LTFRB_PUB1123,bus
LTFRB,,Baclaran-Navotas Terminal via EDSA,"Diosdado Macapagal Blvd, Lungsod ng Pasay, Manila - Epifanio de los Santos Avenue / 5th Street Intersection , Caloocan City",3,,FFFFFF,,LTFRB_PUB1124,bus
LTFRB,,Baclaran-Navotas Terminal via EDSA,"Roxas Blvd, Parañaque City, Manila - MMDA Navotos Bus Terminal, Circumferential Road 4, Navotas City, Manila",3,,FFFFFF,,LTFRB_PUB1125,bus
LTFRB,,Baclaran-Navotas Terminal via Edsa Ayala,"San Juan De Dios Educational Foundation, Incorporated, Pasay City, Manila - MMDA Navotos Bus Terminal, Circumferential Road 4, Navotas City, Manila",3,,FFFFFF,,LTFRB_PUB1126,bus
LTFRB,,Baclaran-Navotas Terminal via Edsa Ayala,"MMDA Navotos Bus Terminal, Circumferential Road 4, Navotas City, Manila - Roxas Blvd, Parañaque City, Manila",3,,FFFFFF,,LTFRB_PUB1127,bus
LTFRB,,Baclaran-Novaliches via EDSA Mindanao Ave,"Diosdado Macapagal Blvd, Lungsod ng Pasay, Manila - Quirino Highway, Quezon City",3,,FFFFFF,,LTFRB_PUB1128,bus
LTFRB,,Baclaran-Nvaliches via EDSA Mind AveAyala,"Roxas Blvd / T. Claudio Intersection, Parañaque City, Manila - Quirino Highway, Quezon City",3,,FFFFFF,,LTFRB_PUB1129,bus
LTFRB,,Baclaran-Nvaliches via EDSA Mind AveAyala,"Quirino Highway, Quezon City - Roxas Blvd, Parañaque City, Manila",3,,FFFFFF,,LTFRB_PUB1130,bus
LTFRB,,Baclaran - SM Fairview via Lagro C'wealth,"Diosdado Macapagal Blvd, Lungsod ng Pasay, Manila - Belfast / Bulalakaw Intersection, Quezon City",3,,,,LTFRB_PUB1131,bus
LTFRB,,Baclaran - SM Fairview via Lagro C'wealth,"Robinsons Nova Supermarket, Quirino Highway, Caloocan City, Manila - Roxas Blvd, Parañaque City, Manila",3,,,,LTFRB_PUB1132,bus
LTFRB,,"Baclaran - SM Fairview via Lagro, Ayala","Roxas Blvd / T. Claudio Intersection, Parañaque City, Manila - Belfast / Bulalakaw Intersection, Quezon City",3,,,,LTFRB_PUB1133,bus
LTFRB,,"Baclaran - SM Fairview via Lagro, Ayala","Robinsons Nova Supermarket, Quirino Highway, Caloocan City, Manila - Roxas Blvd, Parañaque City, Manila",3,,,,LTFRB_PUB1134,bus
LTFRB,,Baclaran-SM Fairview via Quezon Ave,"Taft Ave / Josefa Llanes Escoda Intersection, Manila - Belfast / Bulalakaw Intersection, Quezon City",3,,,,LTFRB_PUB1135,bus
LTFRB,,Baclaran-SM Fairview via Quezon Ave,"Robinsons Nova Supermarket, Quirino Highway, Caloocan City, Manila - Taft Ave / Josefa Llanes Escoda Intersection, Manila",3,,,,LTFRB_PUB1136,bus
LTFRB,,Bagong Silang - Sta. Cruz via Malinta Exit,"T. Mapua, Manila - Langit Road, Caloocan City",3,,,,LTFRB_PUB1137,bus
LTFRB,,Bagong Silang - Sta. Cruz via Malinta Exit,"Un named Road near Tatak Kubo, Caloocan City - Valariano Fugoso, Manila",3,,,,LTFRB_PUB1138,bus
LTFRB,,"Bagong Silang - NAIA via Maligaya Park, EDSA","Maria, Parañaque City, Manila - Green Construction Supply, Langit Road, Caloocan City",3,,FFFFFF,,LTFRB_PUB1139,bus
LTFRB,,"Bagong Silang - NAIA via Maligaya Park, EDSA","Green Construction Supply, Langit Road, Caloocan City - Terminal 1 Arrivals Area Rd, Ninoy Aquino International Airport,  Parañaque City, Manila",3,,FFFFFF,,LTFRB_PUB1140,bus
LTFRB,,"Cainta - Quiapo via Ortigas Ave, Magsaysay Blvd","Marketplace, Cainta, Manila - Quezon Blvd, Manila",3,,,,LTFRB_PUB1141,bus
LTFRB,,"Cainta - Quiapo via Ortigas Ave, Magsaysay Blvd","Claro M. Recto Ave / Quezon Blvd Intersection, Manila - Marketplace, Cainta, Manila",3,,,,LTFRB_PUB1142,bus
LTFRB,,"Dasmarinas - Plaza Lawton via E. Aguinaldo Highway, Roxas Blvd","San Agustin Bus Terminal, Emilio Aguinaldo Hwy, Lungsod ng Dasmariñas, Manila - Leon Guinto Sr., Manila",3,,,,LTFRB_PUB1143,bus
LTFRB,,"Dasmarinas - Plaza Lawton via E. Aguinaldo Highway, Roxas Blvd","President Quirino Ave / Taft Ave Intersection, Manila - San Agustin Bus Terminal, Emilio Aguinaldo Hwy, Lungsod ng Dasmariñas, Manila",3,,,,LTFRB_PUB1144,bus
LTFRB,,Eastwood Libis - Marriot Terminal via Acropolis,"Newport Blvd, Pasay City, Manila - Pheonix Sun Business Park, Quezon City, Manila",3,,,,LTFRB_PUB1145,bus
LTFRB,,Eastwood Libis - Marriot Terminal via Acropolis,"Pheonix Sun Business Park, Quezon City, Manila - Newport Blvd, Pasay City, Manila",3,,,,LTFRB_PUB1146,bus
LTFRB,,FTI - Navotas Terminal via EDSA,"DBP Ave, Taguig City, Manila, Manila - MMDA Navotos Bus Terminal, Circumferential Road 4, Navotas City, Manila",3,,FFFFFF,,LTFRB_PUB1147,bus
LTFRB,,FTI - Navotas Terminal via EDSA,"MMDA Navotos Bus Terminal, Circumferential Road 4, Navotas City, Manila - DBP Ave, Taguig City, Manila, Manila",3,,,,LTFRB_PUB1148,bus
LTFRB,,FTI - SM Fairview via Lagro Commonwealth,"DBP Ave, Taguig City, Manila, Manila - Robinsons Nova Supermarket, Quirino Highway, Caloocan City, Manila",3,,,,LTFRB_PUB1149,bus
LTFRB,,FTI - SM Fairview via Lagro Commonwealth,"Belfast / Bulalakaw Intersection, Quezon City - DBP Ave, Taguig City, Manila, Manila",3,,,,LTFRB_PUB1150,bus
LTFRB,,"FTI - Tungko, SJDM via Lagro, C'wealth Ave EDSA","DBP Ave, Taguig City, Manila, Manila - Sta. Maria - Tungkong Mangga Rd / Quirino Highway Intersection, City of San Jose del Monte",3,,FFFFFF,,LTFRB_PUB1151,bus
LTFRB,,"FTI - Tungko, SJDM via Lagro, C'wealth Ave EDSA","Sta. Maria - Tungkong Mangga Rd / Quirino Highway Intersection, City of San Jose del Monte - DBP Ave, Taguig City, Manila, Manila",3,,,,LTFRB_PUB1152,bus
LTFRB,,"GMA - Plaza Lawton via Ayala, Carmona, SSH","Congressional Rd,  General Mariano Alvarez, Manila - Andres Soriano Jr Ave / Muralla Intersection, Manila",3,,,,LTFRB_PUB1153,bus
LTFRB,,"GMA - Plaza Lawton via Ayala, Carmona, SSH","Taft Ave, Manila - Congressional Rd,  General Mariano Alvarez, Manila",3,,,,LTFRB_PUB1154,bus
LTFRB,,"Grotto - Baclaran via Commonwealth Ave, Ayala","Roxas Blvd / T. Claudio Intersection, Parañaque City, Manila - Sta. Maria - Tungkong Mangga Rd / Quirino Highway Intersection, City of San Jose del Monte",3,,,,LTFRB_PUB1155,bus
LTFRB,,"Grotto - Baclaran via Commonwealth Ave, Ayala","Sta. Maria - Tungkong Mangga Rd / Quirino Highway Intersection, City of San Jose del Monte - Roxas Blvd / T. Claudio Intersection, Parañaque City, Manila",3,,,,LTFRB_PUB1156,bus
LTFRB,,"Grotto - NAIA via EDSA, Fairview","Sta. Maria - Tungkong Mangga Rd / Quirino Highway Intersection, City of San Jose del Monte - Ninoy Aquino Ave, Lungsod ng Pasay, Manila",3,,FFFFFF,,LTFRB_PUB1158,bus
LTFRB,,"Grotto - NAIA via EDSA, Ayala, Buendia Extn","Maria, Parañaque City, Manila - Sta. Maria - Tungkong Mangga Rd / Quirino Highway Intersection, City of San Jose del Monte",3,,FFFFFF,,LTFRB_PUB1159,bus
LTFRB,,"Grotto - NAIA via EDSA, Ayala, Buendia Extn","Sta. Maria - Tungkong Mangga Rd / Quirino Highway Intersection, City of San Jose del Monte - Ninoy Aquino Ave, Lungsod ng Pasay, Manila",3,,FFFFFF,,LTFRB_PUB1160,bus
LTFRB,,Lagro - NAIA via Fairview,"Maria, Parañaque City, Manila - Quirino Highway / Maligaya Intersection, Caloocan City",3,,,,LTFRB_PUB1161,bus
LTFRB,,Lagro - NAIA via Fairview,"Robinsons Nova Supermarket, Quirino Highway, Caloocan City, Manila - Terminal 1 Arrivals Area Rd, Ninoy Aquino International Airport,  Parañaque City, Manila",3,,,,LTFRB_PUB1162,bus
LTFRB,,"Malanday - Muntinlupa via Edsa, Monumento","National Hwy, Muntinlupa City, Manila - MacArthur Highway, Dalandanan, Valenzuela City",3,,FFFFFF,,LTFRB_PUB1163,bus
LTFRB,,"Malanday - Muntinlupa via Edsa, Monumento","MacArthur Highway, Dalandanan, Valenzuela City - National Hwy, Muntinlupa City, Manila",3,,FFFFFF,,LTFRB_PUB1164,bus
LTFRB,,"Malanday Term - NAIA viaEDSA, Buendia, Ayala","Maria, Parañaque City, Manila - MacArthur Highway, Dalandanan, Valenzuela City",3,,FFFFFF,,LTFRB_PUB1165,bus
LTFRB,,"Malanday Term - NAIA viaEDSA, Buendia, Ayala","MacArthur Highway, Dalandanan, Valenzuela City - Ninoy Aquino Ave, Lungsod ng Pasay, Manila",3,,FFFFFF,,LTFRB_PUB1166,bus
LTFRB,,Moonwalk - Plaza Lawton,"Alabang-Zapote Road, Las Piñas City, Manila - Andres Soriano Jr Ave / Muralla Intersection, Manila",3,,,,LTFRB_PUB1167,bus
LTFRB,,Moonwalk - Plaza Lawton,"Taft Ave, Manila - Alabang-Zapote Road, Las Piñas City, Manila",3,,,,LTFRB_PUB1168,bus
LTFRB,,NAIA - Malanday via EDSA,"Maria, Parañaque City, Manila - MacArthur Highway, Dalandanan, Valenzuela City",3,,FFFFFF,,LTFRB_PUB1169,bus
LTFRB,,NAIA - Malanday via EDSA,"MacArthur Highway, Dalandanan, Valenzuela City - Ninoy Aquino Ave, Lungsod ng Pasay, Manila",3,,FFFFFF,,LTFRB_PUB1170,bus
LTFRB,,Norzagaray - Baclaran Via Commonwealth Ave,"Diosdado Macapagal Blvd, Lungsod ng Pasay, Manila - VFR Phase 2 Elementary School, City of San Jose del Monte, Manila",3,,,,LTFRB_PUB1171,bus
LTFRB,,Norzagaray - Baclaran Via Commonwealth Ave,"VFR Phase 2 Elementary School, City of San Jose del Monte, Manila - Roxas Blvd / T. Claudio Intersection, Parañaque City, Manila",3,,,,LTFRB_PUB1172,bus
LTFRB,,Norzgry / Spalay-NAIA / Baclrn Via Comm Fairv Ed,"Maria, Parañaque City, Manila - VFR Phase 2 Elementary School, City of San Jose del Monte, Manila",3,,,,LTFRB_PUB1173,bus
LTFRB,,Norzgry / Spalay-NAIA / Baclrn Via Comm Fairv Ed,"VFR Phase 2 Elementary School, City of San Jose del Monte, Manila - Ninoy Aquino Ave, Lungsod ng Pasay, Manila",3,,,,LTFRB_PUB1174,bus
LTFRB,,"Pacita Complex (SP, Lag) - Letre via EDSA","Pacita Bus Terminal,  Pacita Av, San Pedro, Manila - Circimferential Road 4, Malabon City",3,,FFFFFF,,LTFRB_PUB1175,bus
LTFRB,,"Pacita Complex (SP, Lag) - Letre via EDSA","Pagamutang Bayan Ng Malabon, Dagat- Dagatan Avenue, Caloocan City - Pacita Bus Terminal,  Pacita Av, San Pedro, Manila",3,,FFFFFF,,LTFRB_PUB1176,bus
LTFRB,,Pacita Complex - SM Fairview via EDSA,"Plaza Pacita Bus Terminal, National Highway / Pacita Av, San Pedro, Manila - Robinsons Nova Supermarket, Quirino Highway, Caloocan City, Manila",3,,FFFFFF,,LTFRB_PUB1177,bus
LTFRB,,Pacita Complex - SM Fairview via EDSA,"Belfast / Bulalakaw Intersection, Quezon City - PNR Pacita Station, Pine Rd, San Pedro, Manila",3,,FFFFFF,,LTFRB_PUB1178,bus
LTFRB,,Pacita Complex - Navotas Term via EDSA,"MMDA Navotos Bus Terminal, Circumferential Road 4, Navotas City, Manila - Pacita Bus Terminal,  Pacita Av, San Pedro, Manila",3,,FFFFFF,,LTFRB_PUB1180,bus
LTFRB,,"Pacita - Novaliches Term via Malinta Ex, EDSA","National Highway / Unnamed Rd, San Pedro, Manila - Genteral Luis / East Street Intersection, Caloocan City",3,,FFFFFF,,LTFRB_PUB1181,bus
LTFRB,,"Pacita - Novaliches Term via Malinta Ex, EDSA","Genteral Luis / East Street Intersection, Caloocan City - National Highway / Unnamed Rd, San Pedro, Manila",3,,FFFFFF,,LTFRB_PUB1182,bus
LTFRB,,Pala - pala Dasmarinas Cavite - Navotas Terminal via Edsa,"Governor's Dv, Dasmariñas City, Manila - MMDA Navotos Bus Terminal, Circumferential Road 4, Navotas City, Manila",3,,FFFFFF,,LTFRB_PUB1183,bus
LTFRB,,Pala - pala Dasmarinas Cavite - Navotas Terminal via Edsa,"MMDA Navotos Bus Terminal, Circumferential Road 4, Navotas City, Manila - Governor's Dv, Dasmariñas City, Manila",3,,FFFFFF,,LTFRB_PUB1184,bus
LTFRB,,Pandacan (Beata) - Quiapo via C. Palanca,"Lorenzo Dela Paz / Baretto Intersection, Manila - Padre Burgos St, Manila",3,,,,LTFRB_PUB1185,bus
LTFRB,,Pandacan (Beata) - Quiapo via C. Palanca,"Philippine Normal University, San Marcelino / Ayala Blvd, Manila - Lorenzo Dela Paz / Baretto Intersection, Manila",3,,,,LTFRB_PUB1186,bus
