agency_id,route_long_name,representative_route_id,route_ids,direction_count,route_desc,bidirectional_pair_flag
LTFRB,Pasig-Ugong via Rodriguez,LTFRB_PUJ2588,LTFRB_PUJ2588,1,"JP Raceway, Pasig City, Manila - Caruncho Ave, Pasig City, Manila",False
LTFRB,Pfaura San Andres via M Adriatico,LTFRB_PUJ2386,LTFRB_PUJ2386|LTFRB_PUJ2387,2,"Agusto Francisco, Manila - Padre Faura / M Adriatico Intersection, Manila",True
LTFRB,"Philcoa - Rodriguez Town (Montalban) via Commonwealth Ave., Kalayaan Ave.",LTFRB_PUJ1530,LTFRB_PUJ1530|LTFRB_PUJ1531,2,"Philippine Coconut Authority, Commonwealth Avenue, Quezon City - MH del Pilar Street near Pig Farm, Rodriguez",True
LTFRB,Philcoa - T.M. Kalaw via Quezon Ave.,LTFRB_PUJ1532,LTFRB_PUJ1532|LTFRB_PUJ1533,2,"University of The Phillippines - Ayala Land Technohub, Commonwealth Avenue, Quezon City - T.M. Kalaw / Maria Y. Orosa St",True
LTFRB,Pier South - Proj. 2 & 3 via E. Rodriguez,LTFRB_PUJ1534,LTFRB_PUJ1534|LTFRB_PUJ1535,2,"Railroad Dr / 13th St Intersection, Manila - Aurora Blvd, Quezon City, Manila",True
LTFRB,Pier South - Proj. 2 & 3 via Timog,LTFRB_PUJ1536,LTFRB_PUJ1536|LTFRB_PUJ1537,2,"Railroad Dr / 13th St Intersection, Manila - Mayon Avenue / Florentino Intersection, Manila",True
LTFRB,Pier South - Proj. 4 via Espana,LTFRB_PUJ1538,LTFRB_PUJ1538|LTFRB_PUJ1539,2,"Railroad Dr / 13th St Intersection, Manila - Stella Maris College, Columbia, Quezon City, Manila",True
LTFRB,Pier South - Proj. 6 via Espana,LTFRB_PUJ1540,LTFRB_PUJ1540,1,"Antonio C. Delgado / 13th St Intersection, Manila - Emensto Rondon High School, Road 3, Quezon City",False
LTFRB,"Pier South - Proj. 7 via Espana, Roosevelt",LTFRB_PUJ1542,LTFRB_PUJ1542|LTFRB_PUJ1543,2,"25th St / Antonio C. Delgado Intersection, Manila - Dangay, Quezon City",True
LTFRB,Pier South - Proj. 8 via Quezon Ave.,LTFRB_PUJ1544,LTFRB_PUJ1544|LTFRB_PUJ1545,2,"Antonio C. Delgado / 13th St Intersection, Manila - Jetti Petrol Station, Tanding Sora Avenue, Quezon City",True
LTFRB,Pier South - Retiro via Sta. Cruz,LTFRB_PUJ1547,LTFRB_PUJ1547,1,"N. S. Amoranto Sr. Avenue / Banawe Avenue Intersection, Quezon City - 25th St / Antonio C. Delgado Intersection, Manila",False
LTFRB,Pier South - Sta. Ana via Padre Faura,LTFRB_PUJ1548,LTFRB_PUJ1548|LTFRB_PUJ1549,2,"Angel Linao / Pedro Gil - Railroad Dr / 13th St Intersection, Manila",True
LTFRB,Pier South via Road 10,LTFRB_PUJ2388,LTFRB_PUJ2388|LTFRB_PUJ2389|LTFRB_PUJ2390,3,"Sto. Nino Church, Nicolas Zamora, Manila - President Ferdinand E. Marcos Highway, Tondo",True
LTFRB,Plaridel BBB (Val) via MacArthur Highway,LTFRB_PUJ2392,LTFRB_PUJ2392,1,"Ang Dating Daan, Balagtas - Banga Baranggay Hal, MacArthur Highway, City of Meycauayan",False
LTFRB,Plaza Miranda OPiers via Vitas,LTFRB_PUJ2393,LTFRB_PUJ2393|LTFRB_PUJ2394,2,"Padre Burgos St, Manila - Quezon Blvd, Manila",True
LTFRB,Polo Sangandaan via Tenejeros,LTFRB_PUJ2395,LTFRB_PUJ2395|LTFRB_PUJ2396,2,"Caloocan City Police Station, Samson Road, Malabon City - San Diego de Alcala Parish, Palassan Road, Kapitan Viilila, Valenzuela City",True
LTFRB,Prenza (Marilao) - Monumento via McArthur Hi-way,LTFRB_PUJ1626,LTFRB_PUJ1626|LTFRB_PUJ1627,2,"Monumento, Rizal Avenue, Caloocan City - Ministop Marlao, MacArthur Highway, Marilao",True
LTFRB,Proj 2 3 Welcome Rtda,LTFRB_PUJ2259,LTFRB_PUJ2259|LTFRB_PUJ2260,2,"Quezon Avenue / D Tuazon Intersection, Quezon City - Narra, Quezon City, Manila",True
LTFRB,Proj 6 - Vito cruz via Quezon Avenue,LTFRB_PUJ1608,LTFRB_PUJ1608|LTFRB_PUJ1609,2,"Taft Ave, Lungsod ng Pasay - Emensto Rondon High School, Road 3, Quezon City",True
LTFRB,Proj 6 Recto via Espana QAve,LTFRB_PUJ2397,LTFRB_PUJ2397|LTFRB_PUJ2398,2,"Quezon Blvd, Manila - Road 1 / A8A Intersection Quezon City",True
LTFRB,Proj 7 - Quiapo,LTFRB_PUJ1606,LTFRB_PUJ1606|LTFRB_PUJ1607,2,"Quezon Blvd, Manila - Dangay / Bansalangin Intersection, Quezon City",True
LTFRB,"Proj. 2 & 3 - Q. Mart via Anonas, Kamias",LTFRB_PUJ1554,LTFRB_PUJ1554|LTFRB_PUJ1555,2,"Kamias Rd / Colonel Salgado Intersection, Quezon City, Manila - Molave, Quezon City, Manila",True
LTFRB,"Proj. 2 & 3 - Recto via Kamuning, E. Rodriguez",LTFRB_PUJ1550,LTFRB_PUJ1550|LTFRB_PUJ1551,2,"Claro M. Recto Ave / Nicanor Reyes Street Intersection, Manila - Molave, Quezon City, Manila",True
LTFRB,Proj. 2 & 3 - T. M. Kalaw via E. Rodriguez,LTFRB_PUJ1552,LTFRB_PUJ1552,1,"T.M. Kalaw / Maria Y. Orosa St - Molave, Quezon City, Manila",False
LTFRB,Proj. 6 - T.M. Kalaw via Quezon Ave.,LTFRB_PUJ1557,LTFRB_PUJ1557,1,"Emensto Rondon High School, Road 3, Quezon City - Taft Ave / T.M. Kalaw Intersection, Manila",False
LTFRB,"Proj. 7 - T.M. Kalaw via Roosevelt, Quezon Ave.",LTFRB_PUJ1558,LTFRB_PUJ1558|LTFRB_PUJ1559,2,"T.M. Kalaw / Maria Y. Orosa St - Dangay / Bansalangin Intersection, Quezon City",True
LTFRB,Proj. 8 - T.M. Kalaw via Quezon Ave.,LTFRB_PUJ1560,LTFRB_PUJ1560|LTFRB_PUJ1561,2,"T.M. Kalaw / Maria Y. Orosa St - Jetti Petrol Station, Tanding Sora Avenue, Quezon City",True
LTFRB,Punta - Pier via Manila City Hall,LTFRB_PUJ1564,LTFRB_PUJ1564|LTFRB_PUJ1565,2,"Mendiola / Legarda Intersection, Manila - F Y Manalo, Manila",True
LTFRB,Punta - Quiapo (Barbosa) via Sta. Mesa,LTFRB_PUJ1562,LTFRB_PUJ1562|LTFRB_PUJ1563,2,"Quezon Blvd, Manila - F Y Manalo, Manila",True
