route_id,route_long_name,length_km,trips_per_day_estimate,daily_vehicle_km_proxy,emissions_potential_score,emissions_source,emissions_confidence
LTFRB_PUJ2077,BACLARAN - MCU via MABINI,14.413,1020.0,14701.26,45.03,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2078,BACLARAN - MCU via MABINI,15.388,1020.0,15695.76,48.16,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2079,BACLARAN - HARRISON BUENDIA,3.555,1020.0,3626.1000000000004,10.16,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2080,BACLARAN - HARRISON BUENDIA,3.604,1020.0,3676.08,10.31,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2081,BACLARAN - DIVISORIA,8.65,1020.0,8823.0,26.52,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2082,BACLARAN - DIVISORIA,8.626,1020.0,8798.519999999999,26.44,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2083,BACLARAN - DASMARINAS B BAYAN,30.518,1020.0,31128.36,96.74,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2084,BACLARAN - DASMARINAS B BAYAN,28.844,1020.0,29420.88,91.37,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2085,BACLARAN - DAPITAN via TAFT,12.211,1020.0,12455.220000000001,37.95,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2086,BACLARAN - DAPITAN via TAFT,13.113,1020.0,13375.26,40.85,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2087,BACLARAN - ALABANG via SAN DIONISIO,18.772,1020.0,19147.44,59.02,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2088,BACLARAN - ALABANG via SAN DIONISIO,18.171,1020.0,18534.42,57.09,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2089,BACLARAN - ALABANG via N AQUINO AVE,18.431,1020.0,18799.620000000003,57.93,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2090,BACLARAN - ALABANG via N AQUINO AVE,17.369,1020.0,17716.38,54.52,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2091,AYALA LANDMARK - PUREGOLD,4.149,1020.0,4231.9800000000005,12.06,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2092,AYALA LANDMARK - PUREGOLD,4.018,1020.0,4098.36,11.64,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2093,AYALA - ZAPOTE RD,2.586,1020.0,2637.72,7.05,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2094,AYALA - ZAPOTE RD,3.159,1020.0,3222.18,8.89,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
