route_id,route_long_name,avg_headway_min,daily_service_window_hrs,trips_per_day_estimate,weekday_frequency_rows,frequency_source
LTFRB_PUJ1138,Balintawak - Monumento via A. Bonifacio,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1139,Balintawak - Monumento via A. Bonifacio,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1140,Balintawak - Novaliches via Quirino Hi-way,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1141,Balintawak - Novaliches via Quirino Hi-way,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1142,Balintawak - PUC via BAESA,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1143,Balintawak - PUC via BAESA,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1144,Balut - Divisoria,1.0,17.0,1020.0,2.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1145,Balut - Divisoria,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1146,"Brgy. San Rafael (Rodriguez) - Quezon City Hall via Maly (San Mateo, Rizal*",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1147,"Brgy. San Rafael (Rodriguez) - Quezon City Hall via Maly (San Mateo, Rizal*",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1148,Bel-Air-Washington,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1149,Bel-Air-Washington,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1150,Bicutan (Taguig) - Pasig (TP) via Pateros,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1151,Bicutan (Taguig) - Pasig (TP) via Pateros,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1152,Binangonan - JRC via Angono,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1153,Binangonan - JRC via Angono,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1154,Binangonan - Marcos Highway via Manila East Road,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1155,Binangonan - Marcos Highway via Manila East Road,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1156,Binangonan - Pasig (TP),1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1157,Binangonan - Pasig (TP),1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1159,Blumentritt - Divisoria,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1160,Blumentritt - Frisco,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1161,Blumentritt - Frisco,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1162,Blumentritt - I. Delos Reyes/P. Campa via Dimasalang,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1163,Blumentritt - I. Delos Reyes/P. Campa via Dimasalang,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1164,"Blumentritt - Libertad via Quiapo, L. Guinto",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1165,"Blumentritt - Libertad via Quiapo, L. Guinto",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1166,"Blumentritt - Libertad via Quiapo, Mabini",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1167,"Blumentritt - Libertad via Quiapo, Mabini",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1168,"Blumentritt - Libertad via Sta. Cruz, L. Guinto",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1169,"Blumentritt - Libertad via Sta. Cruz, L. Guinto",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1170,"Blumentritt - Libertad via Sta. Cruz, Mabini",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1171,"Blumentritt - Libertad via Sta. Cruz, Mabini",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1172,Blumentritt - North Harbor via Divisoria,1.0,17.0,1020.0,2.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1173,Blumentritt - North Harbor via Divisoria,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1174,"Blumentritt - Pasay RTDA. via Quiapo, L. Guinto",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1175,"Blumentritt - Pasay RTDA. via Quiapo, L. Guinto",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1176,"Blumentritt - Pasay RTDA via Sta. Cruz, L. Guinto",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1177,"Blumentritt - Pasay RTDA via Sta. Cruz, L. Guinto",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1178,"Blumentritt - Pasay RTDA. via Sta. Cruz, Mabini",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1179,"Blumentritt - Pasay RTDA. via Sta. Cruz, Mabini",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1180,"Blumentritt - Remedios via Quiapo, L. Guinto",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1181,"Blumentritt - Remedios via Quiapo, L. Guinto",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1182,Blumentritt - Retiro,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1183,Blumentritt - Retiro,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1184,Blumentritt - Sta. Quiteria,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1185,Blumentritt - Sta. Quiteria,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1186,"Blumentritt - Vito Cruz via Quiapo, Mabini",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
