route_id,corridor_cluster_id,corridor_type_label,cluster_distance,cluster_outlier_flag,typology_pca_x,typology_pca_y,clustering_model_version,typology_claim_status
LTFRB_PUJ2019,3,Local Feeder,1.0657,False,-1.7093,-1.9824,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2020,0,Long Regional Connector,1.2007,False,1.0393,-0.4965,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2021,0,Long Regional Connector,0.8472,False,0.7663,-0.3645,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2022,3,Local Feeder,1.6531,False,-0.1497,-1.4034,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2023,3,Local Feeder,2.5657,False,0.3506,-1.4742,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2024,3,Local Feeder,1.479,False,-0.221,-1.5247,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2025,1,High-Stop-Density Core,2.9492,True,-2.133,-0.3179,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2026,1,High-Stop-Density Core,2.9492,True,-2.133,-0.3179,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2027,1,High-Stop-Density Core,1.811,False,-0.7424,-0.1065,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2028,1,High-Stop-Density Core,1.5328,False,-1.3553,-0.2488,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2029,1,High-Stop-Density Core,3.969,True,-2.0059,0.4772,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2030,1,High-Stop-Density Core,3.969,True,-2.0059,0.4772,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2031,1,High-Stop-Density Core,1.8522,False,-0.896,-0.2646,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2032,1,High-Stop-Density Core,1.7953,False,-1.4538,-0.9454,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2033,0,Long Regional Connector,1.553,False,-0.405,1.2998,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2034,0,Long Regional Connector,1.5638,False,-0.3978,1.2996,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2035,1,High-Stop-Density Core,2.0168,False,-1.4451,1.2051,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2036,1,High-Stop-Density Core,1.6408,False,-1.1255,1.2308,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2037,1,High-Stop-Density Core,1.2123,False,-0.5547,0.6294,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2038,1,High-Stop-Density Core,1.1878,False,-0.5124,0.6328,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2039,1,High-Stop-Density Core,0.9524,False,-1.7113,0.7582,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2040,1,High-Stop-Density Core,0.7025,False,-1.5853,0.7404,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2041,0,Long Regional Connector,2.1952,False,-0.0192,0.864,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2042,0,Long Regional Connector,2.0644,False,0.0336,0.857,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2043,1,High-Stop-Density Core,1.2165,False,-1.0861,0.4483,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2044,1,High-Stop-Density Core,1.0787,False,-1.0118,0.5954,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2045,0,Long Regional Connector,0.8883,False,0.9005,1.0487,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2046,0,Long Regional Connector,0.856,False,0.9372,1.0384,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2047,0,Long Regional Connector,0.7387,False,0.8869,0.9488,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2048,0,Long Regional Connector,0.7017,False,0.9127,0.9389,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2049,0,Long Regional Connector,0.4609,False,0.6604,0.5295,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2050,0,Long Regional Connector,0.4714,False,0.7483,0.5001,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2051,1,High-Stop-Density Core,0.9554,False,-2.0587,0.9322,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2052,1,High-Stop-Density Core,0.9554,False,-2.0587,0.9322,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2053,0,Long Regional Connector,1.3644,False,0.6795,1.125,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2054,2,Dense Urban Trunk,1.7534,False,2.1377,1.0685,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2055,0,Long Regional Connector,0.6508,False,0.258,0.5575,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2056,0,Long Regional Connector,0.8318,False,0.1879,0.2706,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2057,1,High-Stop-Density Core,2.0783,False,-1.9102,1.2696,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2058,1,High-Stop-Density Core,2.5519,False,-1.973,1.245,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2059,1,High-Stop-Density Core,0.8241,False,-1.6081,0.2639,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2060,1,High-Stop-Density Core,0.4128,False,-1.38,0.2086,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2061,3,Local Feeder,1.4153,False,-2.0403,-2.1771,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2062,3,Local Feeder,1.6381,False,-2.0601,-2.1567,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2064,1,High-Stop-Density Core,2.3812,False,-0.9789,1.7446,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2065,1,High-Stop-Density Core,1.2882,False,-0.521,0.718,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2066,1,High-Stop-Density Core,1.3752,False,-0.5064,0.7058,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2067,1,High-Stop-Density Core,1.4824,False,-0.4482,0.4628,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2068,1,High-Stop-Density Core,1.3735,False,-0.4174,0.4657,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2069,1,High-Stop-Density Core,1.2517,False,-0.6914,-0.064,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2070,1,High-Stop-Density Core,1.3434,False,-0.4516,0.4761,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2071,0,Long Regional Connector,0.9803,False,0.237,-0.342,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2072,0,Long Regional Connector,0.9803,False,0.237,-0.342,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2073,0,Long Regional Connector,1.5328,False,1.0385,-1.0912,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2074,0,Long Regional Connector,1.5402,False,1.0071,-1.0744,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2075,0,Long Regional Connector,0.9969,False,0.0389,-0.1366,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2076,1,High-Stop-Density Core,0.7485,False,-1.071,-0.1098,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2077,2,Dense Urban Trunk,1.5012,False,2.4958,0.9825,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ2078,2,Dense Urban Trunk,1.3341,False,2.6707,0.9394,typology-v1-f9da2ebe,ML_ESTIMATED
