route_id,geometry_source,endpoint_distance_km,geometry_detour_ratio,duplicate_stop_fraction,max_consecutive_stop_gap_km,geometry_valid,self_intersection_flag,geometry_reliability_score,geometry_reliability_grade,geometry_reliability_reasons,geometry_validation_required,geometry_claim_status
LTFRB_PUJ1163,stop_sequence_approx,1.463,1.641,0.0,0.37,True,False,44.0,D,ordered-stop planning approximation | few representative stops,True,DERIVED
LTFRB_PUJ1164,stop_sequence_approx,9.699,1.191,0.0,0.583,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1165,stop_sequence_approx,9.699,1.139,0.027,0.583,True,True,48.0,D,ordered-stop planning approximation | self-intersection detected,True,DERIVED
LTFRB_PUJ1166,stop_sequence_approx,9.73,1.217,0.025,0.639,True,True,48.0,D,ordered-stop planning approximation | self-intersection detected,True,DERIVED
LTFRB_PUJ1167,stop_sequence_approx,9.73,1.203,0.0,0.434,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1168,stop_sequence_approx,8.996,1.136,0.0,0.639,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1169,stop_sequence_approx,8.996,1.152,0.0,0.548,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1170,stop_sequence_approx,8.476,1.094,0.0,0.586,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1171,stop_sequence_approx,8.476,1.168,0.0,0.708,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1172,stop_sequence_approx,1.941,1.223,0.0,0.266,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1173,stop_sequence_approx,1.941,1.352,0.0,0.218,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1174,stop_sequence_approx,9.658,1.183,0.0,0.583,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1175,stop_sequence_approx,9.658,1.171,0.0,0.583,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1176,stop_sequence_approx,9.572,1.146,0.0,0.708,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1177,stop_sequence_approx,9.572,1.088,0.0,0.586,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1178,stop_sequence_approx,9.51,1.174,0.0,0.708,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1179,stop_sequence_approx,9.51,1.119,0.0,0.586,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1180,stop_sequence_approx,5.693,1.291,0.0,0.53,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1181,stop_sequence_approx,5.693,1.293,0.0,0.411,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1182,stop_sequence_approx,2.332,1.04,0.0,0.506,True,False,44.0,D,ordered-stop planning approximation | few representative stops,True,DERIVED
LTFRB_PUJ1183,stop_sequence_approx,2.332,1.101,0.0,0.506,True,False,44.0,D,ordered-stop planning approximation | few representative stops,True,DERIVED
LTFRB_PUJ1184,stop_sequence_approx,6.645,1.241,0.0,0.391,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1185,stop_sequence_approx,6.645,1.213,0.0,0.391,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1186,stop_sequence_approx,6.945,1.316,0.0,0.411,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1187,stop_sequence_approx,6.945,1.317,0.0,0.477,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1188,stop_sequence_approx,3.012,1.315,0.0,0.54,True,False,44.0,D,ordered-stop planning approximation | few representative stops,True,DERIVED
LTFRB_PUJ1189,stop_sequence_approx,3.012,1.635,0.0,0.54,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1190,stop_sequence_approx,3.13,1.131,0.0,0.54,True,False,44.0,D,ordered-stop planning approximation | few representative stops,True,DERIVED
LTFRB_PUJ1191,stop_sequence_approx,3.13,1.249,0.0,0.54,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1192,stop_sequence_approx,3.809,1.078,0.0,0.54,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1193,stop_sequence_approx,3.809,1.171,0.0,0.603,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1194,stop_sequence_approx,5.069,1.326,0.0,0.54,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1195,stop_sequence_approx,5.069,1.341,0.0,0.54,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1196,stop_sequence_approx,3.955,1.226,0.0,0.691,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1197,stop_sequence_approx,3.955,1.12,0.0,0.691,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1198,stop_sequence_approx,1.095,1.031,0.0,0.42,True,False,44.0,D,ordered-stop planning approximation | few representative stops,True,DERIVED
LTFRB_PUJ1199,stop_sequence_approx,1.095,1.723,0.0,0.431,True,False,44.0,D,ordered-stop planning approximation | few representative stops,True,DERIVED
LTFRB_PUJ1200,stop_sequence_approx,10.054,1.531,0.0172,0.647,True,True,48.0,D,ordered-stop planning approximation | self-intersection detected,True,DERIVED
LTFRB_PUJ1201,stop_sequence_approx,10.054,1.407,0.0,0.548,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1202,stop_sequence_approx,4.312,1.846,0.0,0.351,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1203,stop_sequence_approx,4.312,1.679,0.0,0.418,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1204,stop_sequence_approx,9.069,1.258,0.0,0.466,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1205,stop_sequence_approx,9.069,1.365,0.0,0.466,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1206,stop_sequence_approx,4.36,1.428,0.0,0.328,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1207,stop_sequence_approx,4.36,1.417,0.0,0.328,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1208,stop_sequence_approx,4.777,1.337,0.0,0.482,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1209,stop_sequence_approx,4.777,1.616,0.04,0.482,True,True,48.0,D,ordered-stop planning approximation | self-intersection detected,True,DERIVED
LTFRB_PUJ1210,stop_sequence_approx,3.905,1.575,0.087,0.433,True,True,48.0,D,ordered-stop planning approximation | self-intersection detected,True,DERIVED
