route_id,historic_daily_vehicle_km_proxy,ml_service_intensity_prediction,ml_model_version,ml_model_meaningful_vs_baseline,daily_vkt,service_intensity_source,service_intensity_claim_status,ml_service_intensity_used,electrified_vkt_low,diesel_liters_avoided_low,electricity_kwh_day_low,baseline_co2e_kg_day_low,grid_co2e_kg_day_low,net_co2e_avoided_kg_day_low,net_co2e_avoided_t_year_low,electrified_vkt_base,diesel_liters_avoided_base,electricity_kwh_day_base,baseline_co2e_kg_day_base,grid_co2e_kg_day_base,net_co2e_avoided_kg_day_base,net_co2e_avoided_t_year_base,electrified_vkt_high,diesel_liters_avoided_high,electricity_kwh_day_high,baseline_co2e_kg_day_high,grid_co2e_kg_day_high,net_co2e_avoided_kg_day_high,net_co2e_avoided_t_year_high,climate_impact_score,climate_assumption_set,impact_is_scenario_not_measurement,climate_claim_status,climate_source_ids,grid_kgco2e_per_kwh_current,grid_kgco2e_per_kwh_low,grid_kgco2e_per_kwh_base,grid_kgco2e_per_kwh_high,operating_days_per_year,electrification_share_low,electrification_share_base,electrification_share_high
LTFRB_PUJ1036,6869.700000000001,6839.173,service-v1-266e0b1d,True,6869.700000000001,historic_gtfs_service_activity_proxy,DERIVED,False,2060.91,343.485,2404.395,920.54,1726.596,-806.056,-241.817,3434.85,686.97,2862.375,1841.08,1574.306,266.773,80.032,4808.79,1202.198,2938.705,3221.889,1028.547,2193.343,658.003,20.37,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1037,4548.179999999999,4555.032,service-v1-266e0b1d,True,4548.179999999999,historic_gtfs_service_activity_proxy,DERIVED,False,1364.454,227.409,1591.863,609.456,1143.117,-533.661,-160.098,2274.09,454.818,1895.075,1218.912,1042.291,176.621,52.986,3183.726,795.931,1945.61,2133.096,680.964,1452.133,435.64,13.06,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1038,4548.179999999999,4555.032,service-v1-266e0b1d,True,4548.179999999999,historic_gtfs_service_activity_proxy,DERIVED,False,1364.454,227.409,1591.863,609.456,1143.117,-533.661,-160.098,2274.09,454.818,1895.075,1218.912,1042.291,176.621,52.986,3183.726,795.931,1945.61,2133.096,680.964,1452.133,435.64,13.06,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1040,11533.14,11575.885,service-v1-266e0b1d,True,11533.14,historic_gtfs_service_activity_proxy,DERIVED,False,3459.942,576.657,4036.599,1545.441,2898.682,-1353.241,-405.972,5766.57,1153.314,4805.475,3090.882,2643.011,447.87,134.361,8073.198,2018.299,4933.621,5409.043,1726.767,3682.275,1104.683,35.05,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1041,15120.48,15116.16,service-v1-266e0b1d,True,15120.48,historic_gtfs_service_activity_proxy,DERIVED,False,4536.144,756.024,5292.168,2026.144,3800.306,-1774.162,-532.248,7560.24,1512.048,6300.2,4052.289,3465.11,587.179,176.154,10584.336,2646.084,6468.205,7091.505,2263.872,4827.633,1448.29,46.35,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1042,15898.74,15918.566,service-v1-266e0b1d,True,15898.74,historic_gtfs_service_activity_proxy,DERIVED,False,4769.622,794.937,5564.559,2130.431,3995.91,-1865.479,-559.644,7949.37,1589.874,6624.475,4260.862,3643.461,617.401,185.22,11129.118,2782.279,6801.128,7456.509,2380.395,5076.114,1522.834,48.8,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1043,22671.54,22616.961,service-v1-266e0b1d,True,22671.54,historic_gtfs_service_activity_proxy,DERIVED,False,6801.462,1133.577,7935.039,3037.986,5698.152,-2660.165,-798.05,11335.77,2267.154,9446.475,6075.973,5195.561,880.411,264.123,15870.078,3967.52,9698.381,10632.952,3394.433,7238.519,2171.556,70.12,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1044,21995.28,22279.016,service-v1-266e0b1d,True,21995.28,historic_gtfs_service_activity_proxy,DERIVED,False,6598.584,1099.764,7698.348,2947.368,5528.184,-2580.816,-774.245,10997.64,2199.528,9164.7,5894.735,5040.585,854.15,256.245,15396.696,3849.174,9409.092,10315.786,3293.182,7022.604,2106.781,67.99,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1045,21618.9,21525.721,service-v1-266e0b1d,True,21618.9,historic_gtfs_service_activity_proxy,DERIVED,False,6485.67,1080.945,7566.615,2896.933,5433.586,-2536.654,-760.996,10809.45,2161.89,9007.875,5793.865,4954.331,839.534,251.86,15133.23,3783.308,9248.085,10139.264,3236.83,6902.434,2070.73,66.8,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1046,19406.52,19501.664,service-v1-266e0b1d,True,19406.52,historic_gtfs_service_activity_proxy,DERIVED,False,5821.956,970.326,6792.282,2600.474,4877.538,-2277.064,-683.119,9703.26,1940.652,8086.05,5200.947,4447.328,753.62,226.086,13584.564,3396.141,8301.678,9101.658,2905.587,6196.071,1858.821,59.84,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1047,14334.06,14473.472,service-v1-266e0b1d,True,14334.06,historic_gtfs_service_activity_proxy,DERIVED,False,4300.218,716.703,5016.921,1920.764,3602.651,-1681.887,-504.566,7167.03,1433.406,5972.525,3841.528,3284.889,556.639,166.992,10033.842,2508.46,6131.792,6722.674,2146.127,4576.547,1372.964,43.87,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
